date,hour,location,pm2_5,temperature,humidity
2025-01-03,3,US Diplomatic Post: New Delhi-8118,180.0,17.8,65.5
2025-01-03,4,US Diplomatic Post: New Delhi-8118,210.0,19.7,59.2
2025-01-03,5,US Diplomatic Post: New Delhi-8118,258.0,21.1,67.4
2025-01-03,6,US Diplomatic Post: New Delhi-8118,349.0,26.2,49.7
2025-01-03,7,US Diplomatic Post: New Delhi-8118,431.0,29.2,48.2
2025-01-03,8,US Diplomatic Post: New Delhi-8118,382.0,30.7,55.8
2025-01-03,9,US Diplomatic Post: New Delhi-8118,330.0,30.3,63.1
2025-01-03,10,US Diplomatic Post: New Delhi-8118,278.0,32.8,62.1
2025-01-03,11,US Diplomatic Post: New Delhi-8118,208.0,37.2,59.5
2025-01-03,12,US Diplomatic Post: New Delhi-8118,213.0,32.6,60.6
2025-01-03,13,US Diplomatic Post: New Delhi-8118,237.0,36.3,44.8
2025-01-03,14,US Diplomatic Post: New Delhi-8118,265.0,32.8,59.4
2025-01-03,15,US Diplomatic Post: New Delhi-8118,261.0,31.9,56.7
2025-01-03,16,US Diplomatic Post: New Delhi-8118,345.0,29.7,55.9
2025-01-03,17,US Diplomatic Post: New Delhi-8118,352.0,26.8,62.5
2025-01-03,18,US Diplomatic Post: New Delhi-8118,333.0,27.4,52.9
2025-01-03,19,US Diplomatic Post: New Delhi-8118,250.0,25.1,56.7
2025-01-03,20,US Diplomatic Post: New Delhi-8118,192.0,21.3,50.9
2025-01-03,21,US Diplomatic Post: New Delhi-8118,149.0,19.4,60.6
2025-01-03,22,US Diplomatic Post: New Delhi-8118,195.0,17.8,64.3
2025-01-03,23,US Diplomatic Post: New Delhi-8118,180.0,18.2,59.8
2025-01-04,0,US Diplomatic Post: New Delhi-8118,190.0,17.6,57.6
2025-01-04,1,US Diplomatic Post: New Delhi-8118,179.0,13.7,55.0
2025-01-04,2,US Diplomatic Post: New Delhi-8118,167.0,17.9,60.8
2025-01-04,3,US Diplomatic Post: New Delhi-8118,169.0,16.1,70.7
2025-01-04,4,US Diplomatic Post: New Delhi-8118,225.0,19.2,53.1
2025-01-04,5,US Diplomatic Post: New Delhi-8118,334.0,19.7,53.2
2025-01-04,6,US Diplomatic Post: New Delhi-8118,416.0,23.1,50.2
2025-01-04,7,US Diplomatic Post: New Delhi-8118,442.0,25.7,63.9
2025-01-04,8,US Diplomatic Post: New Delhi-8118,400.0,30.8,57.4
2025-01-04,9,US Diplomatic Post: New Delhi-8118,370.0,29.9,46.1
2025-01-04,10,US Diplomatic Post: New Delhi-8118,352.0,33.4,46.2
2025-01-04,11,US Diplomatic Post: New Delhi-8118,301.0,35.1,57.4
2025-01-04,12,US Diplomatic Post: New Delhi-8118,288.0,33.7,60.7
2025-01-04,13,US Diplomatic Post: New Delhi-8118,278.0,36.2,47.1
2025-01-04,14,US Diplomatic Post: New Delhi-8118,283.0,32.8,44.9
2025-01-04,15,US Diplomatic Post: New Delhi-8118,313.0,34.4,43.2
2025-01-04,16,US Diplomatic Post: New Delhi-8118,323.0,31.8,54.0
2025-01-04,17,US Diplomatic Post: New Delhi-8118,303.0,27.0,49.0
2025-01-04,18,US Diplomatic Post: New Delhi-8118,308.0,22.4,68.2
2025-01-04,19,New Delhi-8118,254.0,25.4,53.1
2025-01-04,20,New Delhi-8118,219.0,22.9,51.2
2025-01-04,21,New Delhi-8118,0.0,18.4,56.9
2025-01-04,22,New Delhi-8118,0.0,13.9,65.2
2025-01-04,23,New Delhi-8118,0.0,12.8,67.9
2025-01-05,0,New Delhi-8118,0.0,17.3,53.4
2025-01-05,1,New Delhi-8118,0.0,13.2,55.8
2025-01-05,2,New Delhi-8118,0.0,15.0,70.6
2025-01-05,3,New Delhi-8118,0.0,15.3,69.5
2025-01-05,4,New Delhi-8118,0.0,21.8,58.2
2025-01-05,5,New Delhi-8118,0.0,22.5,64.1
2025-01-05,6,New Delhi-8118,0.0,27.4,54.6
2025-01-05,7,New Delhi-8118,0.0,26.2,64.5
2025-01-05,8,New Delhi-8118,0.0,30.5,53.9
2025-01-05,9,New Delhi-8118,0.0,32.7,47.0
2025-01-05,10,New Delhi-8118,0.0,32.5,47.7
2025-01-05,11,New Delhi-8118,0.0,32.8,47.9
2025-01-05,12,New Delhi-8118,0.0,33.3,44.5
2025-01-05,13,New Delhi-8118,0.0,36.7,53.8
2025-01-05,14,New Delhi-8118,0.0,31.1,56.4
2025-01-05,15,New Delhi-8118,0.0,32.0,58.7
2025-01-05,16,New Delhi-8118,0.0,30.7,50.7
2025-01-05,17,New Delhi-8118,0.0,27.3,50.6
2025-01-05,18,New Delhi-8118,0.0,22.7,68.5
2025-01-05,19,US Diplomatic Post: New Delhi-8118,0.0,25.4,47.5
2025-01-05,20,US Diplomatic Post: New Delhi-8118,0.0,21.2,61.2
2025-01-05,21,US Diplomatic Post: New Delhi-8118,0.0,17.3,57.2
2025-01-05,22,US Diplomatic Post: New Delhi-8118,0.0,16.2,71.2
2025-01-05,23,US Diplomatic Post: New Delhi-8118,0.0,17.6,67.4
2025-01-06,0,US Diplomatic Post: New Delhi-8118,0.0,15.8,57.1
2025-01-06,1,US Diplomatic Post: New Delhi-8118,0.0,17.7,57.7
2025-01-06,2,US Diplomatic Post: New Delhi-8118,0.0,18.0,55.3
2025-01-06,3,US Diplomatic Post: New Delhi-8118,0.0,19.7,57.8
2025-01-06,4,US Diplomatic Post: New Delhi-8118,0.0,22.6,60.9
2025-01-06,5,US Diplomatic Post: New Delhi-8118,0.0,24.8,62.5
2025-01-06,6,US Diplomatic Post: New Delhi-8118,0.0,24.6,51.9
2025-01-06,7,US Diplomatic Post: New Delhi-8118,0.0,27.7,57.5
2025-01-06,8,US Diplomatic Post: New Delhi-8118,0.0,32.6,51.6
2025-01-06,9,US Diplomatic Post: New Delhi-8118,0.0,29.7,50.1
2025-01-06,10,US Diplomatic Post: New Delhi-8118,0.0,30.8,62.3
2025-01-06,11,US Diplomatic Post: New Delhi-8118,0.0,35.2,55.7
2025-01-06,12,US Diplomatic Post: New Delhi-8118,0.0,32.3,49.4
2025-01-06,13,US Diplomatic Post: New Delhi-8118,0.0,35.3,43.5
2025-01-06,14,US Diplomatic Post: New Delhi-8118,0.0,35.1,48.2
2025-01-06,15,US Diplomatic Post: New Delhi-8118,0.0,31.1,55.2
2025-01-06,16,US Diplomatic Post: New Delhi-8118,0.0,31.7,51.2
2025-01-06,17,US Diplomatic Post: New Delhi-8118,0.0,28.0,61.0
2025-01-06,18,US Diplomatic Post: New Delhi-8118,0.0,25.2,58.0
2025-01-06,19,US Diplomatic Post: New Delhi-8118,0.0,24.2,58.3
2025-01-06,20,US Diplomatic Post: New Delhi-8118,0.0,17.7,71.0
2025-01-06,21,US Diplomatic Post: New Delhi-8118,0.0,20.4,58.8
2025-01-06,22,US Diplomatic Post: New Delhi-8118,0.0,14.6,53.4
2025-01-06,23,US Diplomatic Post: New Delhi-8118,0.0,15.8,69.2
2025-01-07,0,US Diplomatic Post: New Delhi-8118,0.0,14.2,62.3
2025-01-07,1,US Diplomatic Post: New Delhi-8118,0.0,15.3,54.7
2025-01-07,2,US Diplomatic Post: New Delhi-8118,0.0,18.0,69.2
2025-01-07,3,US Diplomatic Post: New Delhi-8118,0.0,20.0,58.0
2025-01-07,4,US Diplomatic Post: New Delhi-8118,0.0,18.1,65.2
2025-01-07,5,US Diplomatic Post: New Delhi-8118,0.0,24.4,63.5
2025-01-07,6,US Diplomatic Post: New Delhi-8118,0.0,26.4,49.8
2025-01-07,7,US Diplomatic Post: New Delhi-8118,0.0,29.5,64.5
2025-01-07,8,US Diplomatic Post: New Delhi-8118,0.0,32.0,52.5
2025-01-07,9,US Diplomatic Post: New Delhi-8118,0.0,33.9,50.3
2025-01-07,10,US Diplomatic Post: New Delhi-8118,0.0,36.3,61.2
2025-01-07,11,US Diplomatic Post: New Delhi-8118,0.0,37.1,59.6
2025-01-07,12,US Diplomatic Post: New Delhi-8118,0.0,37.2,52.3
2025-01-07,13,US Diplomatic Post: New Delhi-8118,0.0,37.4,50.7
2025-01-07,14,US Diplomatic Post: New Delhi-8118,0.0,33.7,47.2
2025-01-07,15,US Diplomatic Post: New Delhi-8118,0.0,33.7,45.5
2025-01-07,16,US Diplomatic Post: New Delhi-8118,0.0,31.0,58.1
2025-01-07,17,US Diplomatic Post: New Delhi-8118,0.0,28.5,64.5
2025-01-07,18,US Diplomatic Post: New Delhi-8118,0.0,26.3,53.7
2025-01-07,19,US Diplomatic Post: New Delhi-8118,0.0,22.6,53.9
2025-01-07,20,US Diplomatic Post: New Delhi-8118,0.0,23.0,54.6
2025-01-07,21,US Diplomatic Post: New Delhi-8118,0.0,16.8,69.6
2025-01-07,22,US Diplomatic Post: New Delhi-8118,0.0,16.3,57.9
2025-01-07,23,US Diplomatic Post: New Delhi-8118,0.0,17.6,67.4
2025-01-08,0,US Diplomatic Post: New Delhi-8118,0.0,13.2,66.4
2025-01-08,1,US Diplomatic Post: New Delhi-8118,0.0,15.0,58.2
2025-01-08,2,US Diplomatic Post: New Delhi-8118,0.0,15.5,61.1
2025-01-08,3,US Diplomatic Post: New Delhi-8118,0.0,15.0,64.8
2025-01-08,4,US Diplomatic Post: New Delhi-8118,0.0,18.6,59.4
2025-01-08,5,US Diplomatic Post: New Delhi-8118,0.0,22.9,51.9
2025-01-08,6,US Diplomatic Post: New Delhi-8118,99.0,26.3,52.2
2025-01-08,7,US Diplomatic Post: New Delhi-8118,80.0,25.4,59.7
2025-01-08,8,US Diplomatic Post: New Delhi-8118,81.0,29.9,61.7
2025-01-08,9,US Diplomatic Post: New Delhi-8118,81.0,33.3,51.6
2025-01-08,10,US Diplomatic Post: New Delhi-8118,70.0,32.4,45.4
2025-01-08,11,US Diplomatic Post: New Delhi-8118,66.0,32.6,63.5
2025-01-08,12,US Diplomatic Post: New Delhi-8118,86.0,34.0,58.5
2025-01-08,13,US Diplomatic Post: New Delhi-8118,117.0,32.2,50.3
2025-01-08,14,US Diplomatic Post: New Delhi-8118,129.0,31.0,55.4
2025-01-08,15,US Diplomatic Post: New Delhi-8118,195.0,29.5,52.8
2025-01-08,16,US Diplomatic Post: New Delhi-8118,245.0,29.0,63.6
2025-01-08,17,US Diplomatic Post: New Delhi-8118,270.0,26.3,66.4
2025-01-08,18,US Diplomatic Post: New Delhi-8118,260.0,26.6,53.7
2025-01-08,19,US Diplomatic Post: New Delhi-8118,265.0,23.0,63.8
2025-01-08,20,US Diplomatic Post: New Delhi-8118,234.0,20.6,62.2
2025-01-08,21,US Diplomatic Post: New Delhi-8118,200.0,16.7,57.7
2025-01-08,22,US Diplomatic Post: New Delhi-8118,191.0,16.8,68.0
2025-01-08,23,US Diplomatic Post: New Delhi-8118,176.0,13.1,63.7
2025-01-09,0,US Diplomatic Post: New Delhi-8118,176.0,13.2,61.8
2025-01-09,1,US Diplomatic Post: New Delhi-8118,160.0,13.9,66.3
2025-01-09,2,US Diplomatic Post: New Delhi-8118,160.0,18.0,59.7
2025-01-09,3,US Diplomatic Post: New Delhi-8118,192.0,15.2,57.9
2025-01-09,4,US Diplomatic Post: New Delhi-8118,183.0,21.8,54.6
2025-01-09,5,US Diplomatic Post: New Delhi-8118,161.0,20.7,55.7
2025-01-09,6,US Diplomatic Post: New Delhi-8118,180.0,23.7,64.2
2025-01-09,7,US Diplomatic Post: New Delhi-8118,173.0,30.2,51.4
2025-01-09,8,US Diplomatic Post: New Delhi-8118,427.0,28.4,53.7
2025-01-09,9,US Diplomatic Post: New Delhi-8118,369.0,32.9,58.7
2025-01-09,10,US Diplomatic Post: New Delhi-8118,323.0,31.7,63.1
2025-01-09,11,US Diplomatic Post: New Delhi-8118,314.0,33.2,53.9
2025-01-09,12,US Diplomatic Post: New Delhi-8118,305.0,34.0,57.5
2025-01-09,13,US Diplomatic Post: New Delhi-8118,374.0,36.7,44.3
2025-01-09,14,US Diplomatic Post: New Delhi-8118,371.0,35.1,52.8
2025-01-09,15,US Diplomatic Post: New Delhi-8118,341.0,34.6,46.3
2025-01-09,16,US Diplomatic Post: New Delhi-8118,338.0,30.0,57.4
2025-01-09,17,US Diplomatic Post: New Delhi-8118,339.0,30.1,59.2
2025-01-09,18,US Diplomatic Post: New Delhi-8118,347.0,26.6,59.2
2025-01-09,19,US Diplomatic Post: New Delhi-8118,351.0,23.9,63.0
2025-01-09,20,US Diplomatic Post: New Delhi-8118,359.0,20.4,60.5
2025-01-09,21,US Diplomatic Post: New Delhi-8118,373.0,16.5,65.8
2025-01-09,22,US Diplomatic Post: New Delhi-8118,359.0,14.5,58.4
2025-01-09,23,US Diplomatic Post: New Delhi-8118,349.0,17.4,63.9
2025-01-10,0,US Diplomatic Post: New Delhi-8118,289.0,15.7,66.7
2025-01-10,1,US Diplomatic Post: New Delhi-8118,157.0,14.7,57.5
2025-01-10,2,US Diplomatic Post: New Delhi-8118,183.0,16.7,57.2
2025-01-10,3,US Diplomatic Post: New Delhi-8118,198.0,15.0,70.8
2025-01-10,4,US Diplomatic Post: New Delhi-8118,207.0,21.9,68.2
2025-01-10,5,US Diplomatic Post: New Delhi-8118,248.0,24.7,63.9
2025-01-10,6,US Diplomatic Post: New Delhi-8118,220.0,27.9,49.1
2025-01-10,7,US Diplomatic Post: New Delhi-8118,222.0,26.8,47.7
2025-01-10,8,US Diplomatic Post: New Delhi-8118,207.0,27.6,50.2
2025-01-10,9,US Diplomatic Post: New Delhi-8118,209.0,34.8,52.2
2025-01-10,10,US Diplomatic Post: New Delhi-8118,199.0,32.4,60.3
2025-01-10,11,US Diplomatic Post: New Delhi-8118,203.0,36.5,42.5
2025-01-10,12,US Diplomatic Post: New Delhi-8118,196.0,36.4,46.9
2025-01-10,13,US Diplomatic Post: New Delhi-8118,217.0,34.3,53.4
2025-01-10,14,US Diplomatic Post: New Delhi-8118,0.0,34.5,47.9
2025-01-10,15,US Diplomatic Post: New Delhi-8118,283.0,32.7,54.9
2025-01-10,16,US Diplomatic Post: New Delhi-8118,273.0,31.2,55.5
2025-01-10,17,US Diplomatic Post: New Delhi-8118,290.0,29.9,49.3
2025-01-10,18,US Diplomatic Post: New Delhi-8118,281.0,27.5,52.5
2025-01-10,19,US Diplomatic Post: New Delhi-8118,243.0,22.6,64.5
2025-01-10,20,US Diplomatic Post: New Delhi-8118,188.0,21.1,58.4
2025-01-10,21,US Diplomatic Post: New Delhi-8118,160.0,18.4,59.4
2025-01-10,22,US Diplomatic Post: New Delhi-8118,146.0,16.1,63.0
2025-01-10,23,US Diplomatic Post: New Delhi-8118,146.0,13.9,54.7
2025-01-11,0,US Diplomatic Post: New Delhi-8118,138.0,12.4,60.3
2025-01-11,1,US Diplomatic Post: New Delhi-8118,128.0,13.2,63.0
2025-01-11,2,US Diplomatic Post: New Delhi-8118,147.0,16.5,55.5
2025-01-11,3,US Diplomatic Post: New Delhi-8118,143.0,18.0,61.8
2025-01-11,4,US Diplomatic Post: New Delhi-8118,157.0,17.9,64.3
2025-01-11,5,US Diplomatic Post: New Delhi-8118,183.0,22.8,63.6
2025-01-11,6,US Diplomatic Post: New Delhi-8118,174.0,27.2,53.9
2025-01-11,7,US Diplomatic Post: New Delhi-8118,187.0,30.2,46.4
2025-01-11,8,US Diplomatic Post: New Delhi-8118,182.0,29.4,48.7
2025-01-11,9,US Diplomatic Post: New Delhi-8118,192.0,32.7,50.1
2025-01-11,10,US Diplomatic Post: New Delhi-8118,174.0,34.4,59.2
2025-01-11,11,US Diplomatic Post: New Delhi-8118,201.0,36.8,57.4
2025-01-11,12,US Diplomatic Post: New Delhi-8118,226.0,37.4,52.8
2025-01-11,13,US Diplomatic Post: New Delhi-8118,164.0,33.4,57.8
2025-01-11,14,US Diplomatic Post: New Delhi-8118,134.0,34.2,61.7
2025-01-11,15,US Diplomatic Post: New Delhi-8118,135.0,30.2,64.4
2025-01-11,16,US Diplomatic Post: New Delhi-8118,127.0,31.5,46.3
2025-01-11,17,US Diplomatic Post: New Delhi-8118,126.0,30.1,62.3
2025-01-11,18,US Diplomatic Post: New Delhi-8118,132.0,22.3,57.3
2025-01-11,19,US Diplomatic Post: New Delhi-8118,134.0,25.2,60.3
2025-01-11,20,US Diplomatic Post: New Delhi-8118,129.0,19.8,54.5
2025-01-11,21,US Diplomatic Post: New Delhi-8118,149.0,16.8,68.1
2025-01-11,22,US Diplomatic Post: New Delhi-8118,157.0,15.1,70.7
2025-01-11,23,US Diplomatic Post: New Delhi-8118,159.0,17.7,55.0
2025-01-12,0,US Diplomatic Post: New Delhi-8118,173.0,15.1,63.5
2025-01-12,1,US Diplomatic Post: New Delhi-8118,152.0,15.8,71.7
2025-01-12,2,US Diplomatic Post: New Delhi-8118,127.0,15.2,64.3
2025-01-12,3,US Diplomatic Post: New Delhi-8118,129.0,18.5,64.1
2025-01-12,4,US Diplomatic Post: New Delhi-8118,137.0,17.4,64.2
2025-01-12,5,US Diplomatic Post: New Delhi-8118,151.0,20.1,66.0
2025-01-12,6,US Diplomatic Post: New Delhi-8118,174.0,24.9,54.6
2025-01-12,7,US Diplomatic Post: New Delhi-8118,158.0,27.3,52.1
2025-01-12,8,US Diplomatic Post: New Delhi-8118,144.0,31.5,57.2
2025-01-12,9,US Diplomatic Post: New Delhi-8118,146.0,31.8,51.7
2025-01-12,10,US Diplomatic Post: New Delhi-8118,150.0,33.6,53.1
2025-01-12,11,US Diplomatic Post: New Delhi-8118,149.0,32.2,44.5
2025-01-12,12,US Diplomatic Post: New Delhi-8118,138.0,33.4,55.0
2025-01-12,13,US Diplomatic Post: New Delhi-8118,145.0,37.1,46.5
2025-01-12,14,US Diplomatic Post: New Delhi-8118,153.0,34.5,48.9
2025-01-12,15,US Diplomatic Post: New Delhi-8118,156.0,32.7,60.0
2025-01-12,16,US Diplomatic Post: New Delhi-8118,217.0,31.9,44.3
2025-01-12,17,US Diplomatic Post: New Delhi-8118,203.0,27.1,64.7
2025-01-12,18,US Diplomatic Post: New Delhi-8118,199.0,24.7,60.6
2025-01-12,19,New Delhi-8118,180.0,24.5,64.4
2025-01-12,20,New Delhi-8118,150.0,18.8,70.6
2025-01-12,21,New Delhi-8118,138.0,15.8,55.6
2025-01-12,22,New Delhi-8118,121.0,17.0,54.8
2025-01-12,23,New Delhi-8118,108.0,13.9,61.7
2025-01-13,0,New Delhi-8118,98.0,16.6,64.1
2025-01-13,1,New Delhi-8118,84.0,13.0,58.6
2025-01-13,2,New Delhi-8118,88.0,17.7,54.1
2025-01-13,3,New Delhi-8118,106.0,16.4,65.3
2025-01-13,4,New Delhi-8118,111.0,17.2,60.1
2025-01-13,5,New Delhi-8118,121.0,24.2,50.1
2025-01-13,6,New Delhi-8118,97.0,23.4,63.9
2025-01-13,7,New Delhi-8118,110.0,27.8,51.5
2025-01-13,8,New Delhi-8118,104.0,30.7,51.6
2025-01-13,9,New Delhi-8118,114.0,30.4,63.7
2025-01-13,10,New Delhi-8118,113.0,35.2,44.8
2025-01-13,11,New Delhi-8118,117.0,34.4,49.0
2025-01-13,12,New Delhi-8118,117.0,35.5,52.7
2025-01-13,13,New Delhi-8118,123.0,36.8,58.3
2025-01-13,14,New Delhi-8118,142.0,35.2,45.6
2025-01-13,15,New Delhi-8118,127.0,31.6,56.6
2025-01-13,16,New Delhi-8118,151.0,30.3,45.0
2025-01-13,17,New Delhi-8118,187.0,28.2,61.5
2025-01-13,18,New Delhi-8118,188.0,22.1,61.8
2025-01-13,19,US Diplomatic Post: New Delhi-8118,135.0,20.7,56.4
2025-01-13,20,US Diplomatic Post: New Delhi-8118,107.0,20.1,61.5
2025-01-13,21,US Diplomatic Post: New Delhi-8118,122.0,15.9,55.0
2025-01-13,22,US Diplomatic Post: New Delhi-8118,121.0,19.1,68.8
2025-01-13,23,US Diplomatic Post: New Delhi-8118,122.0,12.5,66.0
2025-01-14,0,US Diplomatic Post: New Delhi-8118,131.0,14.0,72.1
2025-01-14,1,US Diplomatic Post: New Delhi-8118,124.0,12.7,72.0
2025-01-14,2,US Diplomatic Post: New Delhi-8118,136.0,15.2,61.6
2025-01-14,3,US Diplomatic Post: New Delhi-8118,134.0,20.5,68.7
2025-01-14,4,US Diplomatic Post: New Delhi-8118,139.0,19.6,64.8
2025-01-14,5,US Diplomatic Post: New Delhi-8118,151.0,21.2,67.4
2025-01-14,6,US Diplomatic Post: New Delhi-8118,166.0,24.3,49.9
2025-01-14,7,US Diplomatic Post: New Delhi-8118,144.0,25.0,48.5
2025-01-14,8,US Diplomatic Post: New Delhi-8118,140.0,32.5,47.2
2025-01-14,9,US Diplomatic Post: New Delhi-8118,148.0,30.7,44.7
2025-01-14,10,US Diplomatic Post: New Delhi-8118,140.0,36.0,59.4
2025-01-14,11,US Diplomatic Post: New Delhi-8118,134.0,36.6,60.9
2025-01-14,12,US Diplomatic Post: New Delhi-8118,150.0,34.5,62.4
2025-01-14,13,US Diplomatic Post: New Delhi-8118,165.0,31.8,49.0
2025-01-14,14,US Diplomatic Post: New Delhi-8118,216.0,31.9,45.3
2025-01-14,15,US Diplomatic Post: New Delhi-8118,248.0,31.4,62.2
2025-01-14,16,US Diplomatic Post: New Delhi-8118,219.0,31.8,45.7
2025-01-14,17,US Diplomatic Post: New Delhi-8118,239.0,26.7,59.9
2025-01-14,18,US Diplomatic Post: New Delhi-8118,280.0,27.9,65.4
2025-01-14,19,US Diplomatic Post: New Delhi-8118,299.0,21.9,59.0
2025-01-14,20,US Diplomatic Post: New Delhi-8118,301.0,19.2,59.0
2025-01-14,21,US Diplomatic Post: New Delhi-8118,381.0,15.3,72.2
2025-01-14,22,US Diplomatic Post: New Delhi-8118,362.0,16.4,65.8
2025-01-14,23,US Diplomatic Post: New Delhi-8118,332.0,18.0,51.2
2025-01-15,0,US Diplomatic Post: New Delhi-8118,306.0,16.4,52.2
2025-01-15,1,US Diplomatic Post: New Delhi-8118,292.0,12.7,61.4
2025-01-15,2,US Diplomatic Post: New Delhi-8118,291.0,15.0,55.6
2025-01-15,3,US Diplomatic Post: New Delhi-8118,320.0,17.8,55.0
2025-01-15,4,US Diplomatic Post: New Delhi-8118,267.0,18.2,68.1
2025-01-15,5,US Diplomatic Post: New Delhi-8118,301.0,19.4,65.6
2025-01-15,6,US Diplomatic Post: New Delhi-8118,321.0,26.1,63.7
2025-01-15,7,US Diplomatic Post: New Delhi-8118,318.0,26.3,48.8
2025-01-15,8,US Diplomatic Post: New Delhi-8118,279.0,31.7,64.1
2025-01-15,9,US Diplomatic Post: New Delhi-8118,233.0,33.3,51.4
2025-01-15,10,US Diplomatic Post: New Delhi-8118,202.0,35.6,49.4
2025-01-15,11,US Diplomatic Post: New Delhi-8118,187.0,33.3,49.3
2025-01-15,12,US Diplomatic Post: New Delhi-8118,188.0,34.3,46.0
2025-01-15,13,US Diplomatic Post: New Delhi-8118,201.0,33.6,56.5
2025-01-15,14,US Diplomatic Post: New Delhi-8118,192.0,31.1,61.2
2025-01-15,15,US Diplomatic Post: New Delhi-8118,207.0,32.8,51.3
2025-01-15,16,US Diplomatic Post: New Delhi-8118,215.0,27.4,54.4
2025-01-15,17,US Diplomatic Post: New Delhi-8118,185.0,28.2,56.5
2025-01-15,18,US Diplomatic Post: New Delhi-8118,156.0,22.6,62.6
2025-01-15,19,US Diplomatic Post: New Delhi-8118,158.0,20.0,68.0
2025-01-15,20,US Diplomatic Post: New Delhi-8118,151.0,17.1,71.3
2025-01-15,21,US Diplomatic Post: New Delhi-8118,145.0,19.2,59.0
2025-01-15,22,US Diplomatic Post: New Delhi-8118,154.0,16.4,59.3
2025-01-15,23,US Diplomatic Post: New Delhi-8118,0.0,12.7,62.5
2025-01-16,0,US Diplomatic Post: New Delhi-8118,136.0,14.5,53.3
2025-01-16,1,US Diplomatic Post: New Delhi-8118,125.0,15.6,66.8
2025-01-16,2,US Diplomatic Post: New Delhi-8118,110.0,13.5,68.8
2025-01-16,3,US Diplomatic Post: New Delhi-8118,115.0,18.8,61.7
2025-01-16,4,US Diplomatic Post: New Delhi-8118,147.0,18.7,58.1
2025-01-16,5,US Diplomatic Post: New Delhi-8118,159.0,22.1,66.2
2025-01-16,6,US Diplomatic Post: New Delhi-8118,124.0,27.5,52.3
